	LibraryLayout	Platform	Run	R1	R2	Unnamed: 6	Unnamed: 7	Unnamed: 8	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	project	condition	reference_condition	skip
PD_122_R9_S05#2	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_122_R9_S05#2_1.fq.gz	/home/suley/workfolder/fastq/PD_122_R9_S05#2_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	SDT178_C-lim	WT_batch	
PD_123_R10_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R10_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R10_S05#_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	SDT178_C-starv	WT_batch	
PD_123_R11_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R11_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R11_S05#_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	SDT180_C-lim	WT_batch	
PD_123_R12_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R12_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R12_S05#_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	SDT180_C-starv	WT_batch	
PD_123_R13_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R13_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R13_S05#_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	SDT201_C-lim	WT_batch	
PD_123_R14_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R14_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R14_S05#_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	SDT201_C-starv	WT_batch	
PD_123_R15_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R15_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R15_S05#_2.fq.gz				TRUE	TRUE	FALSE	DDB_SD_1	SDT202_C-lim	WT_batch	
PD_123_R16_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R16_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R16_S05#_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	SDT202_C-starv	WT_batch	
PD_123_R5_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R5_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R5_S05#1_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	WT_C-lim	WT_batch	
PD_123_R6_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R6_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R6_S05#1_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	WT_C-starv	WT_batch	
PD_123_R7_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R7_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R7_S05#1_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	SDT173_C-lim	WT_batch	
PD_123_R8_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R8_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R8_S05#1_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	SDT173_C-starv	WT_batch	
PD_123_R9_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_123_R9_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_123_R9_S05#1_2.fq.gz				TRUE	TRUE	TRUE	DDB_SD_1	SDT178_C-lim	WT_batch	
