Experiment	LibraryLayout	Platform	Run	R1	R2			
PD_117_R8_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_117_R8_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_117_R8_S05#1_2.fq.gz			
PD_117_R9_S05#1	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_117_R9_S05#1_1.fq.gz	/home/suley/workfolder/fastq/PD_117_R9_S05#1_2.fq.gz			
PD_121_R10_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R10_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R10_S05#_2.fq.gz			
PD_121_R11_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R11_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R11_S05#_2.fq.gz			
PD_121_R12_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R12_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R12_S05#_2.fq.gz			
PD_121_R13_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R13_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R13_S05#_2.fq.gz			
PD_121_R14_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R14_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R14_S05#_2.fq.gz			
PD_121_R15_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R15_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R15_S05#_2.fq.gz			
PD_121_R16_S05#	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R16_S05#_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R16_S05#_2.fq.gz			
PD_121_R5_S05#2	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R5_S05#2_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R5_S05#2_2.fq.gz			
PD_121_R6_S05#2	PAIRED	ILLUMINA		/home/suley/workfolder/fastq/PD_121_R6_S05#2_1.fq.gz	/home/suley/workfolder/fastq/PD_121_R6_S05#2_2.fq.gz			
